MTSS,D,02/02/17,00:00,272.7,1,220,520
MTSS,D,03/02/17,00:00,274.35,681,350
MTSS,D,06/02/17,00:00,271.9,1,072,570
MTSS,D,07/02/17,00:00,275.9,1,688,870
MTSS,D,08/02/17,00:00,271.1,949,030
MTSS,D,09/02/17,00:00,272.2,720,930
MTSS,D,10/02/17,00:00,272.1,641,180
MTSS,D,13/02/17,00:00,270.75,882,700
MTSS,D,14/02/17,00:00,267.6,757,460
MTSS,D,15/02/17,00:00,273.45,4,278,580
MTSS,D,16/02/17,00:00,277.45,1,538,470
MTSS,D,17/02/17,00:00,277.5,1,389,100
MTSS,D,20/02/17,00:00,281,1,808,180
MTSS,D,21/02/17,00:00,278.55,1,926,910
MTSS,D,22/02/17,00:00,279,1,253,670
MTSS,D,24/02/17,00:00,277.05,509,850
MTSS,D,27/02/17,00:00,274.35,921,780
MTSS,D,28/02/17,00:00,275.5,2,402,070
MTSS,D,01/03/17,00:00,273.3,1,145,290
MTSS,D,02/03/17,00:00,275,2,278,160
MTSS,D,03/03/17,00:00,274.55,1,215,030
MTSS,D,06/03/17,00:00,273,1,301,980
MTSS,D,07/03/17,00:00,270,1,437,970
MTSS,D,09/03/17,00:00,257,3,069,710
MTSS,D,10/03/17,00:00,255.2,1,526,310
MTSS,D,13/03/17,00:00,271.8,2,852,140
MTSS,D,14/03/17,00:00,269,1,457,960
MTSS,D,15/03/17,00:00,260.1,1,741,480
MTSS,D,16/03/17,00:00,269.6,2,763,280
MTSS,D,17/03/17,00:00,268.15,3,223,630
MTSS,D,20/03/17,00:00,275.35,2,968,620
MTSS,D,21/03/17,00:00,283.75,2,607,470
MTSS,D,22/03/17,00:00,287.5,1,718,450
MTSS,D,23/03/17,00:00,290,2,765,530
MTSS,D,24/03/17,00:00,288.85,1,204,790
MTSS,D,27/03/17,00:00,283,1,537,340
MTSS,D,28/03/17,00:00,284.5,1,016,880
MTSS,D,29/03/17,00:00,285.05,579,030
MTSS,D,30/03/17,00:00,280.25,713,250
MTSS,D,31/03/17,00:00,272.6,1,160,910
MTSS,D,03/04/17,00:00,273.55,740,870
MTSS,D,04/04/17,00:00,279.1,1,045,770
MTSS,D,05/04/17,00:00,278.95,757,680
MTSS,D,06/04/17,00:00,284.55,1,034,370
MTSS,D,07/04/17,00:00,281.25,1,210,560
MTSS,D,10/04/17,00:00,273.5,1,098,440
MTSS,D,11/04/17,00:00,275.6,1,058,640
MTSS,D,12/04/17,00:00,275,1,703,680
MTSS,D,13/04/17,00:00,274.5,1,940,900
MTSS,D,14/04/17,00:00,270.8,489,310
MTSS,D,17/04/17,00:00,272.25,307,660
MTSS,D,18/04/17,00:00,269.1,514,920
MTSS,D,19/04/17,00:00,268.1,977,180
MTSS,D,20/04/17,00:00,265.9,608,020
MTSS,D,21/04/17,00:00,266.55,606,510
MTSS,D,24/04/17,00:00,274.35,874,830
MTSS,D,25/04/17,00:00,277.3,1,379,090
MTSS,D,26/04/17,00:00,277.6,1,033,360
MTSS,D,27/04/17,00:00,274.4,699,080
MTSS,D,28/04/17,00:00,273.85,1,187,180
MTSS,D,02/05/17,00:00,276,886,820
MTSS,D,03/05/17,00:00,247.3,11,825,010
MTSS,D,04/05/17,00:00,246.5,8,229,480
MTSS,D,05/05/17,00:00,256,3,744,590
MTSS,D,10/05/17,00:00,256,4,122,080
MTSS,D,11/05/17,00:00,253.1,2,305,880
MTSS,D,12/05/17,00:00,250.9,1,445,600
MTSS,D,15/05/17,00:00,246.5,2,938,140
MTSS,D,16/05/17,00:00,241.45,5,593,750
MTSS,D,17/05/17,00:00,243.7,2,231,880
MTSS,D,18/05/17,00:00,244.25,2,129,270
MTSS,D,19/05/17,00:00,242.4,1,810,640
MTSS,D,22/05/17,00:00,243.6,1,153,900
MTSS,D,23/05/17,00:00,246.4,1,980,750
MTSS,D,24/05/17,00:00,243.05,1,576,920
MTSS,D,25/05/17,00:00,242,972,500
MTSS,D,26/05/17,00:00,243.05,1,423,930
MTSS,D,29/05/17,00:00,243,473,520
MTSS,D,30/05/17,00:00,246.05,2,202,210
MTSS,D,31/05/17,00:00,236.5,4,500,190
MTSS,D,01/06/17,00:00,241.05,1,526,930
MTSS,D,02/06/17,00:00,248.8,4,143,640
MTSS,D,05/06/17,00:00,248.7,1,845,180
MTSS,D,06/06/17,00:00,248.05,2,255,390
MTSS,D,07/06/17,00:00,250,1,670,310
MTSS,D,08/06/17,00:00,249,964,170
MTSS,D,09/06/17,00:00,252.25,861,880
MTSS,D,13/06/17,00:00,249.65,1,869,760
MTSS,D,14/06/17,00:00,245,1,895,380
MTSS,D,15/06/17,00:00,240.75,5,777,700
MTSS,D,16/06/17,00:00,237.5,2,338,490
MTSS,D,19/06/17,00:00,239.4,1,372,590
MTSS,D,20/06/17,00:00,242.95,3,277,670
MTSS,D,21/06/17,00:00,240.35,878,720
MTSS,D,22/06/17,00:00,242,1,096,950
MTSS,D,23/06/17,00:00,244.3,1,267,210
MTSS,D,26/06/17,00:00,239.05,1,824,250
MTSS,D,27/06/17,00:00,232,9,562,420
MTSS,D,28/06/17,00:00,235.05,2,131,070
MTSS,D,29/06/17,00:00,234,2,000,570
MTSS,D,30/06/17,00:00,234.5,1,979,030
MTSS,D,03/07/17,00:00,237,1,911,450
MTSS,D,04/07/17,00:00,239.5,1,671,670
MTSS,D,05/07/17,00:00,237.55,1,917,610
MTSS,D,06/07/17,00:00,237.55,2,677,270
MTSS,D,07/07/17,00:00,224.05,2,362,990
MTSS,D,10/07/17,00:00,225.6,1,521,290
MTSS,D,11/07/17,00:00,227.95,1,839,540
MTSS,D,12/07/17,00:00,229.95,1,854,360
MTSS,D,13/07/17,00:00,233.45,1,952,430
MTSS,D,14/07/17,00:00,236.4,1,341,620
MTSS,D,17/07/17,00:00,234.8,934,640
MTSS,D,18/07/17,00:00,232.8,841,920
MTSS,D,19/07/17,00:00,231,982,550
MTSS,D,20/07/17,00:00,233.25,841,400
MTSS,D,21/07/17,00:00,230.55,912,260
MTSS,D,24/07/17,00:00,234.6,1,257,760
MTSS,D,25/07/17,00:00,236.4,1,688,620
MTSS,D,26/07/17,00:00,237.25,1,409,500
MTSS,D,27/07/17,00:00,237.8,871,620
MTSS,D,28/07/17,00:00,236.95,1,425,170
MTSS,D,31/07/17,00:00,236.2,2,585,010
MTSS,D,01/08/17,00:00,236.7,2,042,100
MTSS,D,02/08/17,00:00,240.1,1,511,570
MTSS,D,03/08/17,00:00,243.3,1,370,730
MTSS,D,04/08/17,00:00,241.05,1,704,230
MTSS,D,07/08/17,00:00,241.6,874,540
MTSS,D,08/08/17,00:00,243.55,1,096,650
MTSS,D,09/08/17,00:00,242,1,293,310
MTSS,D,10/08/17,00:00,240.6,668,470
MTSS,D,11/08/17,00:00,241.3,2,787,130
MTSS,D,14/08/17,00:00,243.85,776,120
MTSS,D,15/08/17,00:00,243.8,839,050
MTSS,D,16/08/17,00:00,243.8,552,600
MTSS,D,17/08/17,00:00,243.25,2,018,950
MTSS,D,18/08/17,00:00,244,1,021,610
MTSS,D,21/08/17,00:00,244.95,872,970
MTSS,D,22/08/17,00:00,245.25,628,380
MTSS,D,23/08/17,00:00,247.55,2,129,820
MTSS,D,24/08/17,00:00,252,2,349,880
MTSS,D,25/08/17,00:00,253,1,627,150
MTSS,D,28/08/17,00:00,252,1,125,090
MTSS,D,29/08/17,00:00,254.7,1,227,550
MTSS,D,30/08/17,00:00,257.7,1,862,520
MTSS,D,31/08/17,00:00,270,4,617,190
